订单编号,商品ID,数量,实付金额,币种,下单时间
TB2026082401,TB-1001,2,336.00,CNY,2026-08-24
TB2026082402,TB-2001,1,238.00,CNY,2026-08-24
TB2026082403,TB-3001,1,89.00,CNY,2026-08-24
TB2026082404,TB-3002,1,59.00,CNY,2026-08-24
TB2026082501,TB-1001,2,336.00,CNY,2026-08-25
TB2026082502,TB-1002,1,398.00,CNY,2026-08-25
TB2026082503,TB-2002,1,186.00,CNY,2026-08-25
TB2026082504,TB-3001,1,89.00,CNY,2026-08-25
TB2026082601,TB-1001,3,504.00,CNY,2026-08-26
TB2026082602,TB-2001,1,238.00,CNY,2026-08-26
TB2026082603,TB-3002,1,59.00,CNY,2026-08-26
TB2026082701,TB-1001,2,336.00,CNY,2026-08-27
TB2026082702,TB-1002,1,398.00,CNY,2026-08-27
TB2026082703,TB-2001,1,238.00,CNY,2026-08-27
TB2026082704,TB-3001,1,89.00,CNY,2026-08-27
TB2026082801,TB-1001,2,336.00,CNY,2026-08-28
TB2026082802,TB-2002,1,186.00,CNY,2026-08-28
TB2026082803,TB-3001,1,89.00,CNY,2026-08-28
TB2026082804,TB-3002,1,59.00,CNY,2026-08-28
TB2026082901,TB-1001,1,168.00,CNY,2026-08-29
TB2026082902,TB-1002,1,398.00,CNY,2026-08-29
TB2026082903,TB-2001,1,238.00,CNY,2026-08-29
TB2026082904,TB-3001,1,89.00,CNY,2026-08-29
TB2026083001,TB-1001,2,336.00,CNY,2026-08-30
TB2026083002,TB-2001,1,238.00,CNY,2026-08-30
TB2026083003,TB-2002,1,186.00,CNY,2026-08-30
TB2026083004,TB-3002,1,59.00,CNY,2026-08-30
TB2026083101,TB-1001,2,336.00,CNY,2026-08-31
TB2026083102,TB-1002,1,398.00,CNY,2026-08-31
TB2026083103,TB-2001,1,238.00,CNY,2026-08-31
TB2026083104,TB-2002,1,186.00,CNY,2026-08-31
TB2026083105,TB-3001,1,89.00,CNY,2026-08-31
TB2026083106,TB-3002,1,59.00,CNY,2026-08-31
TB2026090101,TB-1001,1,168.00,CNY,2026-09-01
TB2026090102,TB-2001,1,238.00,CNY,2026-09-01
TB2026090103,TB-3002,1,59.00,CNY,2026-09-01
TB2026090201,TB-1002,1,398.00,CNY,2026-09-02
TB2026090202,TB-2002,1,186.00,CNY,2026-09-02
TB2026090203,TB-3001,1,89.00,CNY,2026-09-02
TB2026090301,TB-2001,1,238.00,CNY,2026-09-03
TB2026090302,TB-3002,1,59.00,CNY,2026-09-03
TB2026090401,TB-1002,1,398.00,CNY,2026-09-04
TB2026090402,TB-2001,1,238.00,CNY,2026-09-04
TB2026090403,TB-2002,1,186.00,CNY,2026-09-04
TB2026090501,TB-2002,1,186.00,CNY,2026-09-05
TB2026090502,TB-3001,1,89.00,CNY,2026-09-05
TB2026090503,TB-3002,1,59.00,CNY,2026-09-05
TB2026090601,TB-1002,1,398.00,CNY,2026-09-06
TB2026090602,TB-2001,1,238.00,CNY,2026-09-06
TB2026090603,TB-3002,1,59.00,CNY,2026-09-06
